Order_Unique_ID,Payment_Unique_ID,Payment_Sequential,Payment_Type,Payment_Installments,Payment_Value,Check_Date,Card_Type,Card_Num,Transaction_Log_ID,Transaction_User_ID,Transaction_Status
12788447,264279072,1,credit_card,8,99.33,20-Jan-17,laser,6118-7793-0788-2740,43RLTx,IE93 DCQW 3232 3625 8453 06,Void
767255693,920036308,1,credit_card,1,24.39,20-Jan-17,mastercard,6082-7232-8168-2690,P1TbuOmERme,RO65 YGOA AUBO OJLS N6CZ ZDWM,Void
908172676,850785564,1,credit_card,1,65.71,24-Jan-17,mastercard,6169-9010-6716-8740,Zw4mb9a9XgKP,BE66 3081 7237 7033,Cancelled
922407784,519574566,1,credit_card,8,107.78,25-Jan-17,switch,4957-7647-3352-2000,OF1CYO5C,LU34 5239 IEHK JKVJ AVML,Cancelled
274994918,714453346,1,credit_card,2,128.45,26-Jan-17,jcb,6510-2952-4700-9490,PVBiz1eQkD9,KZ72 262S GRPI WQKW NFQZ,Completed
701113062,993425555,1,credit_card,2,96.12,04-Feb-17,jcb,5778-3379-7446-4310,ej7GqXbLu6,AL56 5242 4411 0EXG SGNX ZR2O ENW3,Completed
118877194,48106985,1,credit_card,1,81.16,06-Feb-17,jcb,5150-1020-5203-7840,eYszm5vkCUYL,DO70 5ZPQ 6023 0263 8901 8219 7057,Completed
755204945,832208359,1,credit_card,3,51.84,07-Feb-17,china-unionpay,5113-2542-4177-4610,vkLONI,SA54 75LV 9COT Y0GG AGOK JC8D,Cancelled
141167072,68073389,1,credit_card,6,341.09,10-Feb-17,diners-club-carte-blanche,6374-4537-3015-8740,xnwc86PEuT,MK36 156G ST3B OIM5 C01,Void
947250712,268229453,1,boleto,1,51.95,18-Feb-17,jcb,5288-5153-2173-7110,bg5vQ1zX,PS65 XLCO EPDR NFJV CLYV BTI3 HIRU U,Completed
190699719,840030700,1,credit_card,8,188.73,20-Feb-17,diners-club-enroute,6145-8031-8953-5580,vmSaTsyZut,ME79 0108 5015 1353 0693 57,Completed
140952072,353302412,1,credit_card,1,141.9,21-Feb-17,diners-club-international,6573-7171-1721-2690,o9yfJAH,GE44 WX88 1343 0378 4017 09,Cancelled
11186024,321612256,1,credit_card,1,75.78,22-Feb-17,visa,6384-8622-8777-6170,mDSzGbzPqHir,LV85 IAXZ D451 RXOL Y9PL S,Cancelled
757347669,623158386,1,credit_card,5,102.66,24-Feb-17,jcb,6588-2898-1097-9610,T5yoy0lFlZul,PS29 ESEX 6FM4 H9S3 UOJ9 36IN 1DMD E,Void
623901325,375534422,1,credit_card,4,105.28,27-Feb-17,jcb,4875-7103-7413-3790,uj8qMQJJL,FI90 7919 3919 1804 43,Completed
337349963,707654015,1,credit_card,10,157.45,02-Mar-17,jcb,5587-7125-9443-8340,CpnPuwkj,FR39 6066 2982 29EK QFV5 OFJG F58,Completed
426001452,928605585,1,credit_card,1,132.04,06-Mar-17,diners-club-enroute,5092-2420-6207-7920,u1HgmrASmVT,BR44 0228 3388 3024 2353 1539 844P E,Cancelled
273976254,610677497,1,credit_card,1,98.94,09-Mar-17,mastercard,6719-6819-7520-4480,C6Rbe4p,ME67 9481 5749 9833 8942 16,Void
156702028,24083118,1,credit_card,4,244.15,09-Mar-17,instapayment,4652-8128-6079-0070,NMBs2zulKiJC,EE41 7400 3899 0980 6807,Void
915529705,224405303,1,credit_card,3,136.71,12-Mar-17,diners-club-carte-blanche,6673-7299-9161-8330,qbpJO8Tx3,VG05 DZJI 7729 8290 2755 0459,Completed
420992611,367046108,1,credit_card,4,47.69,15-Mar-17,instapayment,6769-4110-2431-6180,9fDNppX10,PK82 SMSC R7H6 ABHG Y6WC S5QX,Void
593831719,693868880,1,credit_card,2,170.57,17-Mar-17,americanexpress,4779-2781-3818-0370,DepyxRKXh,AL33 8674 3407 THS7 TH1O XJ3R ZA0J,Void
396900901,816664628,1,credit_card,4,67.5,18-Mar-17,jcb,4658-7136-0198-9100,IfUAC5aaAm,PS07 RXFN 7V91 1TDI 2A3O PGJH UBDA C,Completed
494544217,809819244,1,credit_card,10,353.09,18-Mar-17,jcb,4955-5957-1364-0830,q7TS8Ltm5P,TN86 1618 6829 6205 0221 1523,Cancelled
573053537,128742793,1,boleto,1,330.66,21-Mar-17,instapayment,5945-2684-5064-0140,sxe9eMHnG,RO23 URRL HWBQ CJXS 9PPY SQP8,Void
